City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Coahuayana,MX,2022-08-03 23:18:01,18.7333,-103.6833,88.52,63,97,5.88
269,Cap Malheureux,MU,2022-08-03 23:18:01,-19.9842,57.6142,71.26,67,99,16.98
270,Campina Verde,BR,2022-08-03 23:18:02,-19.5356,-49.4864,76.93,30,41,3.4
271,Gamboula,CF,2022-08-03 23:19:03,4.1178,15.1393,68.09,95,99,1.81
272,Evensk,RU,2022-08-03 23:19:03,61.95,159.2333,52.9,96,100,7.92
273,Maun,BW,2022-08-03 23:19:04,-19.9833,23.4167,62.94,43,3,5.48
274,Katherine,AU,2022-08-03 23:19:04,-14.4667,132.2667,77.32,65,43,6.91
275,Novo Oriente,BR,2022-08-03 23:19:04,-5.5344,-40.7742,76.98,64,94,2.64
276,Churapcha,RU,2022-08-03 23:19:05,62.0025,132.4325,66.06,85,100,3.13
277,Seoul,KR,2022-08-03 23:19:05,37.5683,126.9778,81.97,83,75,3.44
278,Richards Bay,ZA,2022-08-03 23:19:06,-28.783,32.0377,64.83,73,23,14.32
279,Kamyaran,IR,2022-08-03 23:19:07,34.7956,46.9355,78.06,23,2,2.15
280,Bengkulu,ID,2022-08-03 23:19:07,-3.8004,102.2655,73.99,92,95,2.91
281,Kainantu,PG,2022-08-03 23:19:07,-6.2887,145.8655,66.09,75,97,4.94
282,Novyy Buh,UA,2022-08-03 23:19:08,47.6931,32.5216,64.4,81,12,5.44
283,Pilar,BR,2022-08-03 23:19:08,-9.5972,-35.9567,71.53,95,100,6.38
284,Mazagao,BR,2022-08-03 23:19:09,-0.115,-51.2894,82.45,81,77,7.14
285,Rio Gallegos,AR,2022-08-03 23:19:09,-51.6226,-69.2181,37.45,100,75,12.66
286,Rio Grande,BR,2022-08-03 23:19:10,-32.035,-52.0986,60.91,97,100,10.63
287,Havelock,US,2022-08-03 23:18:15,34.8791,-76.9013,86.05,88,20,8.05
288,Kruisfontein,ZA,2022-08-03 23:19:10,-34.0033,24.7314,54.09,95,64,6.35
289,Camapua,BR,2022-08-03 23:19:11,-19.5314,-54.0439,78.89,24,93,2.24
290,Oranjestad,AW,2022-08-03 23:19:11,12.524,-70.027,82.35,78,20,18.41
291,Chumikan,RU,2022-08-03 23:19:12,54.7183,135.315,54.28,97,100,1.25
