City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
35,port alfred,ZA,-33.5906,26.891,61.18,88,20,5.01,few clouds
36,hermanus,ZA,-34.4187,19.2345,57.79,71,100,20.56,overcast clouds
37,kemalpasa,TR,38.4262,27.4173,94.19,28,0,14.63,clear sky
38,domoni,KM,-12.2569,44.5319,75.54,69,3,9.35,clear sky
39,bredasdorp,ZA,-34.5322,20.0403,56.08,72,100,16.33,overcast clouds
40,avera,US,33.194,-82.5271,86.56,63,89,6.02,overcast clouds
41,jalu,LY,29.0331,21.5482,98.26,16,0,15.82,clear sky
42,marsh harbour,BS,26.5412,-77.0636,84.43,66,0,17.81,clear sky
43,tasiilaq,GL,65.6145,-37.6368,46.56,77,100,11.95,overcast clouds
44,cam ranh,VN,11.9214,109.1591,78.76,83,40,6.91,light rain
45,narsaq,GL,60.9167,-46.05,48.42,96,98,6.76,overcast clouds
46,port lincoln,AU,-34.7333,135.8667,51.4,75,7,10.29,clear sky
47,kavieng,PG,-2.5744,150.7967,80.4,78,22,7.2,few clouds
48,vanavara,RU,60.34,102.2797,48.96,96,100,7.07,overcast clouds
49,olafsvik,IS,64.8945,-23.7142,53.73,91,95,4.52,overcast clouds
50,butaritari,KI,3.0707,172.7902,81.46,78,85,15.28,overcast clouds
51,ponta do sol,PT,32.6667,-17.1,78.71,75,0,3.06,clear sky
52,vila velha,BR,-20.3297,-40.2925,78.75,68,75,14.0,broken clouds
53,bodden town,KY,19.2833,-81.25,88.0,71,40,11.5,scattered clouds
54,shadegan,IR,30.6497,48.6647,102.15,30,0,14.94,clear sky
55,gander,CA,48.9682,-54.5906,75.33,47,75,6.91,broken clouds
56,east london,ZA,-33.0153,27.9116,63.54,72,0,12.66,clear sky
57,arraial do cabo,BR,-22.9661,-42.0278,73.36,68,75,11.5,broken clouds
58,faanui,PF,-16.4833,-151.75,77.94,76,65,25.08,light rain
59,ribeira grande,PT,38.5167,-28.7,77.4,83,20,19.57,few clouds
60,bethel,US,41.3712,-73.414,88.16,68,20,5.75,few clouds
61,lexington,US,37.9887,-84.4777,80.55,86,100,10.36,overcast clouds
62,cidreira,BR,-30.1811,-50.2056,56.41,66,37,5.64,scattered clouds
63,albany,US,42.6001,-73.9662,86.18,74,41,4.29,scattered clouds
64,nueva guinea,NI,11.6876,-84.4562,73.44,96,100,8.39,overcast clouds
65,la ronge,CA,55.1001,-105.2842,57.45,77,20,8.05,few clouds
66,saint george,US,37.1041,-113.5841,81.79,55,0,6.91,clear sky
67,nome,US,64.5011,-165.4064,42.87,76,100,9.22,overcast clouds
68,arraias,BR,-12.9288,-46.9437,91.67,19,7,6.6,clear sky
69,fortuna,US,40.5982,-124.1573,59.92,92,100,3.44,overcast clouds
70,mackay,AU,-21.15,149.2,64.69,92,46,6.67,scattered clouds
71,akdepe,TM,42.0551,59.3788,89.69,30,96,19.64,overcast clouds
